DATE        GDP
1997-q3     8662.823
1997-q4     8765.907
1998-q1     8866.48
1998-q2     8969.699
1998-q3     9121.097
1998-q4     9293.991
1999-q1     9417.264
1999-q2     9524.152
1999-q3     9681.856
1999-q4     9899.378
2000-q1     10002.857
2000-q2     10247.679
2000-q3     10319.825
2000-q4     10439.025
2001-q1     10472.879
2001-q2     10597.822
2001-q3     10596.294
2001-q4     10660.294
2002-q1     10788.952
2002-q2     10893.207
2002-q3     10992.051
2002-q4     11071.463
2003-q1     11183.507
2003-q2     11312.875
2003-q3     11567.326
2003-q4     11769.275
2004-q1     11920.169
2004-q2     12108.987
2004-q3     12303.34
2004-q4     12522.425
2005-q1     12761.337
2005-q2     12910.022
2005-q3     13142.873
2005-q4     13332.316
2006-q1     13603.933
2006-q2     13749.806
2006-q3     13867.469
2006-q4     14037.228
2007-q1     14208.569
2007-q2     14382.363
2007-q3     14535.003
2007-q4     14681.501
2008-q1     14651.039
2008-q2     14805.611
2008-q3     14835.187
2008-q4     14559.543
2009-q1     14394.547
2009-q2     14352.85
2009-q3     14420.312
2009-q4     14628.021
2010-q1     14721.35
2010-q2     14926.098
2010-q3     15079.917
2010-q4     15240.843
2011-q1     15285.828
2011-q2     15496.189
2011-q3     15591.85
2011-q4     15796.46
2012-q1     16019.758
2012-q2     16152.257
2012-q3     16257.151
2012-q4     16358.863
2013-q1     16569.591
2013-q2     16637.926
2013-q3     16848.748
2013-q4     17083.137
2014-q1     17102.932
2014-q2     17425.766
2014-q3     17719.836
2014-q4     17838.454
2015-q1     17970.422
2015-q2     18221.299
2015-q3     18331.093
2015-q4     18354.372
2016-q1     18409.13
2016-q2     18640.732
2016-q3     18799.648
2016-q4     18979.245
2017-q1     19162.55
2017-q2     19359.123
2017-q3     19588.074
2017-q4     19831.829
2018-q1     20041.047
2018-q2     20411.924
2018-q3     20658.204
2018-q4     20865.14    
